,soft,perf,nb_inputs,nb_config,mae
334,xz,time,10,0.8,0.32762919523792133
335,xz,time,25,0.8,0.2959933727654984
336,xz,time,30,0.8,0.2938872459361811
337,xz,time,2,0.9,0.32766100358216166
338,xz,time,5,0.9,0.36790308665694327
339,xz,time,10,0.9,0.33478222879336106
340,xz,time,25,0.9,0.3358068874957994
341,xz,time,30,0.9,0.33827561042360865
342,x264,size,2,0.1,0.5845400131365909
343,x264,size,5,0.1,0.5041506257961166
344,x264,size,10,0.1,0.4417761153483617
345,x264,size,25,0.1,0.39093657945350724
346,x264,size,50,0.1,0.3655788350282593
347,x264,size,100,0.1,0.3380340968913693
348,x264,size,200,0.1,0.3240101757969966
349,x264,size,300,0.1,0.31472916187499894
350,x264,size,500,0.1,0.30425680500527075
351,x264,size,1000,0.1,0.2962655227333765
352,x264,kbs,2,0.1,0.5925899499547906
353,x264,kbs,5,0.1,0.4840395552878247
354,x264,kbs,10,0.1,0.45050617546559335
355,x264,kbs,25,0.1,0.3959734535583491
356,x264,kbs,50,0.1,0.3596103847325837
357,x264,kbs,100,0.1,0.33770052367428804
358,x264,kbs,200,0.1,0.323125460442668
359,x264,kbs,300,0.1,0.3148412181562531
360,x264,kbs,500,0.1,0.3045204420755443
361,x264,kbs,1000,0.1,0.2947370102011048
362,x264,fps,2,0.1,0.3507381495494557
363,x264,fps,5,0.1,0.3097630365809426
364,x264,fps,10,0.1,0.27517607919394804
365,x264,fps,25,0.1,0.22687520437381697
366,x264,fps,50,0.1,0.19749679771315845
367,x264,fps,100,0.1,0.17798349670448682
368,x264,fps,200,0.1,0.16425082553820008
369,x264,fps,300,0.1,0.15795779045005234
370,x264,fps,500,0.1,0.1501498756756309
371,x264,fps,1000,0.1,0.144478629722053
372,x264,etime,2,0.1,0.2876536159879104
373,x264,etime,5,0.1,0.19576052585023718
374,x264,etime,10,0.1,0.16519656193514842
375,x264,etime,25,0.1,0.1280841352007104
376,x264,etime,50,0.1,0.11216155445850864
377,x264,etime,100,0.1,0.1012561559689926
378,x264,etime,200,0.1,0.09194285393109464
379,x264,etime,300,0.1,0.08830370775002269
380,x264,etime,500,0.1,0.08538011643669563
381,x264,etime,1000,0.1,0.08286624665452541
382,x264,cpu,2,0.1,0.5204885602854676
383,x264,cpu,5,0.1,0.4491236716234682
384,x264,cpu,10,0.1,0.4072776645102086
385,x264,cpu,25,0.1,0.3580092962635762
386,x264,cpu,50,0.1,0.3289748225338398
387,x264,cpu,100,0.1,0.3029011629683769
388,x264,cpu,200,0.1,0.28048894594191887
389,x264,cpu,300,0.1,0.26995898825495235
390,x264,cpu,500,0.1,0.2599130970481941
391,x264,cpu,1000,0.1,0.2484736500536941
392,x264,size,2,0.2,0.5423095923048453
393,x264,size,5,0.2,0.46574196669122925
394,x264,size,10,0.2,0.41911229633729236
395,x264,size,25,0.2,0.36943497838518236
396,x264,size,50,0.2,0.343056386829874
397,x264,size,100,0.2,0.328090342324558
398,x264,size,200,0.2,0.31507055149170293
399,x264,size,300,0.2,0.30600821978743803
400,x264,size,500,0.2,0.2973894188226548
401,x264,size,1000,0.2,0.28952649891062876
402,x264,kbs,2,0.2,0.5426712075551711
403,x264,kbs,5,0.2,0.45316516520825345
404,x264,kbs,10,0.2,0.41983912768932596
405,x264,kbs,25,0.2,0.3683884118696028
406,x264,kbs,50,0.2,0.3443367641513594
407,x264,kbs,100,0.2,0.32898353748160636
408,x264,kbs,200,0.2,0.31282469525596435
409,x264,kbs,300,0.2,0.3060937091775301
410,x264,kbs,500,0.2,0.2982535784813568
411,x264,kbs,1000,0.2,0.2877747745930785
412,x264,fps,2,0.2,0.3384226295229468
413,x264,fps,5,0.2,0.2684032372605629
414,x264,fps,10,0.2,0.2491178423753828
415,x264,fps,25,0.2,0.20643146447106253
416,x264,fps,50,0.2,0.17997400627888094
417,x264,fps,100,0.2,0.16556733091758183
418,x264,fps,200,0.2,0.1529002090071298
419,x264,fps,300,0.2,0.1488176508122964
420,x264,fps,500,0.2,0.14357064991331445
421,x264,fps,1000,0.2,0.13848339250216735
422,x264,etime,2,0.2,0.21196070613596935
423,x264,etime,5,0.2,0.1587029261189091
424,x264,etime,10,0.2,0.1299324297474081
425,x264,etime,25,0.2,0.1088125038527882
426,x264,etime,50,0.2,0.09989627430318421
427,x264,etime,100,0.2,0.09334150350708795
428,x264,etime,200,0.2,0.08725616061974345
429,x264,etime,300,0.2,0.08401475102232088
430,x264,etime,500,0.2,0.08118236803384493
431,x264,etime,1000,0.2,0.07832328452336416
432,x264,cpu,2,0.2,0.504223810463102
433,x264,cpu,5,0.2,0.4151341142125343
434,x264,cpu,10,0.2,0.36958495434721406
435,x264,cpu,25,0.2,0.32519528809230863
436,x264,cpu,50,0.2,0.3061393671881264
437,x264,cpu,100,0.2,0.2826145955053976
438,x264,cpu,200,0.2,0.2640730488639839
439,x264,cpu,300,0.2,0.25577276693282797
440,x264,cpu,500,0.2,0.2470348727263867
441,x264,cpu,1000,0.2,0.23831497895761694
442,x264,size,2,0.3,0.5148342416473887
443,x264,size,5,0.3,0.46792728305584697
444,x264,size,10,0.3,0.41946459836579203
445,x264,size,25,0.3,0.36613868332727406
446,x264,size,50,0.3,0.3445409759975963
447,x264,size,100,0.3,0.3237819655786274
448,x264,size,200,0.3,0.3130649956260936
449,x264,size,300,0.3,0.30339424272416926
450,x264,size,500,0.3,0.29565157452971935
451,x264,size,1000,0.3,0.287024397754037
452,x264,kbs,2,0.3,0.5025109969638523
453,x264,kbs,5,0.3,0.46084706305174683
454,x264,kbs,10,0.3,0.4071032850944646
455,x264,kbs,25,0.3,0.36488717986239694
456,x264,kbs,50,0.3,0.3490325663569054
457,x264,kbs,100,0.3,0.3222392067921628
458,x264,kbs,200,0.3,0.31018269134060517
459,x264,kbs,300,0.3,0.3039196749412185
460,x264,kbs,500,0.3,0.2960151040892468
461,x264,kbs,1000,0.3,0.2878949469801195
462,x264,fps,2,0.3,0.2939745186004794
463,x264,fps,5,0.3,0.257711643793089
464,x264,fps,10,0.3,0.23372051457515164
465,x264,fps,25,0.3,0.19976445343435723
466,x264,fps,50,0.3,0.17568633179187937
467,x264,fps,100,0.3,0.1595951109001836
468,x264,fps,200,0.3,0.14994607037970076
469,x264,fps,300,0.3,0.14599701678943486
470,x264,fps,500,0.3,0.14142778603278258
471,x264,fps,1000,0.3,0.13726367315029087
472,x264,etime,2,0.3,0.18185591866687864
473,x264,etime,5,0.3,0.1365952280872036
474,x264,etime,10,0.3,0.12158280997994012
475,x264,etime,25,0.3,0.10502641727473927
476,x264,etime,50,0.3,0.09763546249070243
477,x264,etime,100,0.3,0.08967445965394727
478,x264,etime,200,0.3,0.08445827221512597
479,x264,etime,300,0.3,0.0821751742425478
480,x264,etime,500,0.3,0.07908825778808967
481,x264,etime,1000,0.3,0.07678659151787706
482,x264,cpu,2,0.3,0.45082713557442655
483,x264,cpu,5,0.3,0.3992943067887439
484,x264,cpu,10,0.3,0.35552267523113024
485,x264,cpu,25,0.3,0.3174841965881664
486,x264,cpu,50,0.3,0.29668599825120373
487,x264,cpu,100,0.3,0.27295295797650254
488,x264,cpu,200,0.3,0.2574216770155714
489,x264,cpu,300,0.3,0.24887475957422261
490,x264,cpu,500,0.3,0.24264190337128247
491,x264,cpu,1000,0.3,0.23486388068888478
492,x264,size,2,0.4,0.5055980660527679
493,x264,size,5,0.4,0.4605214896087688
494,x264,size,10,0.4,0.4040656362715337
495,x264,size,25,0.4,0.3561636377538072
496,x264,size,50,0.4,0.3430053338858972
497,x264,size,100,0.4,0.32421602091476387
498,x264,size,200,0.4,0.3113898332488525
499,x264,size,300,0.4,0.30254842254371894
500,x264,size,500,0.4,0.29483992539181436
501,x264,size,1000,0.4,0.28630744774447536
502,x264,kbs,2,0.4,0.5041480724516062
503,x264,kbs,5,0.4,0.4440126524280228
504,x264,kbs,10,0.4,0.41310341440776027
505,x264,kbs,25,0.4,0.35268892526206497
506,x264,kbs,50,0.4,0.34074117449521224
507,x264,kbs,100,0.4,0.3228160950175368
508,x264,kbs,200,0.4,0.31144652437580755
509,x264,kbs,300,0.4,0.304609503721634
510,x264,kbs,500,0.4,0.2947204238485356
511,x264,kbs,1000,0.4,0.28626733798314796
512,x264,fps,2,0.4,0.28951937951661394
513,x264,fps,5,0.4,0.24918088674038041
514,x264,fps,10,0.4,0.2216016822219588
515,x264,fps,25,0.4,0.19053807847370757
516,x264,fps,50,0.4,0.1740625274107115
517,x264,fps,100,0.4,0.1592840084393481
518,x264,fps,200,0.4,0.14818932458518538
519,x264,fps,300,0.4,0.1438189512816057
520,x264,fps,500,0.4,0.13964860871123846
521,x264,fps,1000,0.4,0.13477301433121464
522,x264,etime,2,0.4,0.1599502063103118
523,x264,etime,5,0.4,0.12840308372035153
524,x264,etime,10,0.4,0.11481742748928814
525,x264,etime,25,0.4,0.10344996933063125
526,x264,etime,50,0.4,0.09317547650133884
527,x264,etime,100,0.4,0.08711461604779808
528,x264,etime,200,0.4,0.08291941596501289
529,x264,etime,300,0.4,0.08084779957970728
530,x264,etime,500,0.4,0.07865203819707084
531,x264,etime,1000,0.4,0.0759679515784814
532,x264,cpu,2,0.4,0.44381150495716254
533,x264,cpu,5,0.4,0.3754133659287209
534,x264,cpu,10,0.4,0.3565313329209262
535,x264,cpu,25,0.4,0.31147880514971726
536,x264,cpu,50,0.4,0.2892713777959862
537,x264,cpu,100,0.4,0.27102694924211346
538,x264,cpu,200,0.4,0.25279118389100064
539,x264,cpu,300,0.4,0.2470943524698888
540,x264,cpu,500,0.4,0.23859532012893314
541,x264,cpu,1000,0.4,0.23294157857711972
542,x264,size,2,0.5,0.5278646292203717
543,x264,size,5,0.5,0.45667210420428694
544,x264,size,10,0.5,0.40533438082668727
545,x264,size,25,0.5,0.36906865523698595
546,x264,size,50,0.5,0.33719223622667494
547,x264,size,100,0.5,0.32783867381538156
548,x264,size,200,0.5,0.3089975038912085
549,x264,size,300,0.5,0.3041953786833761
550,x264,size,500,0.5,0.29462281802067997
551,x264,size,1000,0.5,0.28559670773397366
552,x264,kbs,2,0.5,0.5002999144259439
