,soft,perf,nb_inputs,is_tech,mae
183,x264,size,10,hdbscan,0.42925275576438826
184,x264,size,25,random,0.4033383834969463
185,x264,size,25,kmeans,0.40628766446295617
186,x264,size,25,submodular,0.40493850364989503
187,x264,size,25,hdbscan,0.4140759554014414
188,x264,size,50,random,0.4085821481173865
189,x264,size,50,kmeans,0.4022028320049902
190,x264,size,50,submodular,0.3994370269695839
191,x264,size,50,hdbscan,0.40672095843612677
192,x264,size,100,random,0.4014852258776546
193,x264,size,100,kmeans,0.40022230200207104
194,x264,size,100,submodular,0.41059952023611795
195,x264,size,100,hdbscan,0.40301654161104467
196,x264,size,200,random,0.40096622436267115
197,x264,size,200,kmeans,0.40163990626451207
198,x264,size,200,submodular,0.4143958183390513
199,x264,size,200,hdbscan,0.40434730724067147
200,x264,size,300,random,0.39751453248816543
201,x264,size,300,kmeans,0.4035273500952507
202,x264,size,300,submodular,0.41287587322125574
203,x264,size,300,hdbscan,0.4023068228671657
204,x264,size,500,random,0.4009721228713711
205,x264,size,500,kmeans,0.40000864098095174
206,x264,size,500,submodular,0.4132895440310236
207,x264,size,500,hdbscan,0.40419267884921056
208,x264,size,1000,random,0.4016489123067811
209,x264,size,1000,kmeans,0.39065658656264074
210,x264,size,1000,submodular,0.4095681464539894
211,x264,size,1000,hdbscan,0.4079517321899996
212,x264,kbs,2,random,0.4633240180819168
213,x264,kbs,2,kmeans,0.6844544691463833
214,x264,kbs,2,submodular,0.5585787412100878
215,x264,kbs,2,hdbscan,0.6259668494017524
216,x264,kbs,5,random,0.4425670600380743
217,x264,kbs,5,kmeans,0.4110831293494144
218,x264,kbs,5,submodular,0.41793226182837484
219,x264,kbs,5,hdbscan,0.4573417816205031
220,x264,kbs,10,random,0.4087657759470754
221,x264,kbs,10,kmeans,0.4022458151644967
222,x264,kbs,10,submodular,0.4209876980607419
223,x264,kbs,10,hdbscan,0.42925275540537255
224,x264,kbs,25,random,0.4033384336891344
225,x264,kbs,25,kmeans,0.40628767412290345
226,x264,kbs,25,submodular,0.40493857591112353
227,x264,kbs,25,hdbscan,0.4140760422308028
228,x264,kbs,50,random,0.4085822839598249
229,x264,kbs,50,kmeans,0.40220289924588215
230,x264,kbs,50,submodular,0.3994370959359239
231,x264,kbs,50,hdbscan,0.4067209928719978
232,x264,kbs,100,random,0.40148530779891695
233,x264,kbs,100,kmeans,0.40022238276644717
234,x264,kbs,100,submodular,0.410599611014612
235,x264,kbs,100,hdbscan,0.40301661791093935
236,x264,kbs,200,random,0.40096628013224606
237,x264,kbs,200,kmeans,0.4016399793061681
238,x264,kbs,200,submodular,0.4143959200979115
239,x264,kbs,200,hdbscan,0.40434738467755044
240,x264,kbs,300,random,0.39751461806589117
241,x264,kbs,300,kmeans,0.40352742671434705
242,x264,kbs,300,submodular,0.4128760151966603
243,x264,kbs,300,hdbscan,0.402306912011121
244,x264,kbs,500,random,0.4009722144678311
245,x264,kbs,500,kmeans,0.40000872297330775
246,x264,kbs,500,submodular,0.4132896660256568
247,x264,kbs,500,hdbscan,0.40419277442163837
248,x264,kbs,1000,random,0.4016490674208494
249,x264,kbs,1000,kmeans,0.39065669581919327
250,x264,kbs,1000,submodular,0.4095681725743982
251,x264,kbs,1000,hdbscan,0.40795182935961993
252,x264,fps,2,random,0.3727173134366707
253,x264,fps,2,kmeans,0.2960055625250638
254,x264,fps,2,submodular,0.28235167026111097
255,x264,fps,2,hdbscan,0.3668672325951236
256,x264,fps,5,random,0.23466444963774044
257,x264,fps,5,kmeans,0.24575388447009935
258,x264,fps,5,submodular,0.24395681315018852
259,x264,fps,5,hdbscan,0.2539029687197481
260,x264,fps,10,random,0.22747172987932088
261,x264,fps,10,kmeans,0.24940953354588621
262,x264,fps,10,submodular,0.23809364126741944
263,x264,fps,10,hdbscan,0.2346224346116183
264,x264,fps,25,random,0.23185459095686706
265,x264,fps,25,kmeans,0.23974694932052762
266,x264,fps,25,submodular,0.23219903682898116
267,x264,fps,25,hdbscan,0.22941767834409169
