,soft,perf,nb_inputs,is_tech,mae
87,poppler,time,10,hdbscan,0.6683554208684737
88,poppler,time,20,random,0.6771067795439552
89,poppler,time,20,kmeans,0.7503146074886204
90,poppler,time,20,submodular,0.811983090407778
91,poppler,time,20,hdbscan,0.6614019556345845
92,poppler,time,50,random,0.5764062167164369
93,poppler,time,50,kmeans,0.6653466148718082
94,poppler,time,50,submodular,0.7444633223435861
95,poppler,time,50,hdbscan,0.6240304633984103
96,poppler,time,100,random,0.6310198527960529
97,poppler,time,100,kmeans,0.6658746571588988
98,poppler,time,100,submodular,0.6471860294960747
99,poppler,time,100,hdbscan,0.5993315599954978
100,poppler,time,200,random,0.6040512212259486
101,poppler,time,200,kmeans,0.660633858592731
102,poppler,time,200,submodular,0.6374556602339869
103,poppler,time,200,hdbscan,0.6253678678325082
104,poppler,time,500,random,0.6150449722474274
105,poppler,time,500,kmeans,0.6648054256233772
106,poppler,time,500,submodular,0.5991882979495006
107,poppler,time,500,hdbscan,0.5841516699568203
108,poppler,time,800,random,0.5942567403845288
109,poppler,time,800,kmeans,0.6170510408011997
110,poppler,time,800,submodular,0.5782635959497546
111,poppler,time,800,hdbscan,0.5948719426147757
112,poppler,time,1000,random,0.5864692406807689
113,poppler,time,1000,kmeans,0.6031480630808134
114,poppler,time,1000,submodular,0.5772758289273221
115,poppler,time,1000,hdbscan,0.5715283462957903
116,poppler,time,1300,random,0.5793552673295895
117,poppler,time,1300,kmeans,0.5977800146517942
118,poppler,time,1300,submodular,0.5780319992916486
119,poppler,time,1300,hdbscan,0.5702329476403696
120,xz,size,5,random,0.08199099474486078
121,xz,size,5,kmeans,0.1689735223446682
122,xz,size,5,submodular,0.08552272496236273
123,xz,size,5,hdbscan,0.19049872588831457
124,xz,size,10,random,0.09534487803585263
125,xz,size,10,kmeans,0.10390291594618925
126,xz,size,10,submodular,0.09664338757417988
127,xz,size,10,hdbscan,0.1277565157443686
128,xz,size,25,random,0.0934012422590332
129,xz,size,25,kmeans,0.09867966852776255
130,xz,size,25,submodular,0.09943494867504163
131,xz,size,25,hdbscan,0.10751315049217278
132,xz,size,30,random,0.0988085114919152
133,xz,size,30,kmeans,0.09937447815719039
134,xz,size,30,submodular,0.10650272117030864
135,xz,size,30,hdbscan,0.10868748130283394
136,xz,time,5,random,0.329426351791999
137,xz,time,5,kmeans,0.455926880994353
138,xz,time,5,submodular,0.31141072757971006
139,xz,time,5,hdbscan,0.5422296920970456
